species,common,col,origin,prevalence,mean_log1p,std_log1p,max_log1p,median_log1p,mean_log1p_nz,mean_count,max_count,role,n_folds,mean_corr,median_corr,std_corr,mean_r2,median_r2,mean_F1_t0_5,mean_F1_best,mean_rmse
Sphyrna tiburo,Sphyrna tiburo,162,community,0.010866905888109606,0.009202432,0.09434654,4.7957907,0.0,0.8468309,0.017982384,120.000015,feature,,,,,,,,,
Diapterus auratus,Diapterus auratus,129,community,0.010683412167672483,0.017853325,0.20537457,6.82546,0.0,1.6711259,0.14893574,919.99994,feature,,,,,,,,,
Prionotus tribulus,Prionotus tribulus,115,community,0.010581471211874083,0.009519429,0.10015705,3.4339871,0.0,0.899632,0.018451313,29.999998,feature,,,,,,,,,
Etropus crossotus,Etropus crossotus,131,community,0.010561083020714403,0.011512124,0.12604198,3.912023,0.0,1.0900517,0.029889088,49.000004,feature,,,,,,,,,
Opisthonema oglinum,Opisthonema oglinum,151,community,0.009378567933452944,0.0162368,0.20992073,7.640604,0.0,1.7312665,0.29654625,2080.0005,feature,,,,,,,,,
Notemigonus crysoleucas,Notemigonus crysoleucas,112,community,0.008094111890393085,0.015463365,0.2022813,5.4764633,0.0,1.9104462,0.122043714,237.99994,feature,,,,,,,,,
Paralichthys lethostigma,Paralichthys lethostigma,155,community,0.007951394552275321,0.007969011,0.101922974,4.0943446,0.0,1.0022156,0.020102756,59.000004,feature,,,,,,,,,
Lepomis spp.,Lepomis spp.,103,community,0.007849453596476921,0.011560676,0.1487976,3.9512436,0.0,1.4728,0.043916162,50.999996,feature,,,,,,,,,
Scomberomorus maculatus,Scomberomorus maculatus,159,community,0.007380525199804274,0.007303687,0.09448276,3.637586,0.0,0.9895891,0.016249388,37.0,feature,,,,,,,,,
Labidesthes vanhyningi,Labidesthes vanhyningi,99,community,0.007074702332409069,0.010547236,0.14244178,5.351858,0.0,1.490838,0.043895777,210.0,feature,,,,,,,,,
Strongylura spp.,Strongylura spp.,117,community,0.006993149567770348,0.006302796,0.08148815,3.0910425,0.0,0.90128136,0.011988256,21.000002,feature,,,,,,,,,
Heterandria formosa,Heterandria formosa,97,community,0.006911596803131626,0.009630074,0.13772449,5.3033047,0.0,1.3933214,0.047484096,199.99995,feature,,,,,,,,,
Lepisosteus osseus,Lepisosteus osseus,142,community,0.006626162126896102,0.00642693,0.08696925,3.1354942,0.0,0.9699324,0.013578535,22.0,feature,,,,,,,,,
Sphyraena barracuda,Sphyraena barracuda,161,community,0.006299951068341217,0.0061957454,0.085156396,3.6635616,0.0,0.9834593,0.01296689,37.999996,feature,,,,,,,,,
Fundulus seminolis,Fundulus seminolis,91,community,0.005790246289349209,0.0102667445,0.1556349,4.7184987,0.0,1.77311,0.05896265,110.999985,feature,,,,,,,,,
