bay,species,year,pred_total,obs_total,pred_mean,obs_mean,pred_median,obs_median,n,month
AP,Callinectes sapidus_R,,66.22351834347691,123.00000119526074,0.047988056770635446,0.08913043564873967,9.902685997076333e-05,0.0,1380,5.0
AP,Callinectes sapidus_R,,81.3870384794471,254.00000338015644,0.058976114840179054,0.18405797346388147,5.192076423554681e-05,0.0,1380,6.0
AP,Callinectes sapidus_R,,247.0941843972026,359.0000002519315,0.17905375680956712,0.26014492771879094,9.89591317193117e-05,0.0,1380,7.0
AP,Callinectes sapidus_R,,292.8015214361758,347.0000047519158,0.21217501553346071,0.2514492788057361,0.0010158602381125001,0.0,1380,8.0
AP,Callinectes sapidus_R,,160.66206315394967,430.00000391256947,0.11642178489416644,0.31159420573374597,0.0025984172243624,0.0,1380,9.0
AP,Callinectes sapidus_R,,190.01864246959445,359.0000036877411,0.13769466845622785,0.26014493020850804,0.00051794058526865,0.0,1380,10.0
AP,Callinectes sapidus_R,,330.23674318894643,409.000007326033,0.23930198781807713,0.2963768169029225,0.001213114534039,0.0,1380,11.0
AP,Callinectes sapidus_R,,502.78439276400627,595.0000008422794,0.36433651649565674,0.4311594209002025,0.00456332042813295,0.0,1380,12.0
AP,Centropomus undecimalis_A,2010.0,0.004231785616872682,0.0,2.5554260971453397e-06,0.0,1.1813892442091857e-07,0.0,1656,
AP,Centropomus undecimalis_A,2011.0,0.00012079373800097197,0.0,7.29430785030024e-08,0.0,0.0,0.0,1656,
AP,Centropomus undecimalis_A,2012.0,0.00023722783626964057,0.0,1.432535243174158e-07,0.0,0.0,0.0,1656,
AP,Centropomus undecimalis_A,2013.0,0.0005924309656304809,0.0,3.577481676512566e-07,0.0,5.7758887450631846e-08,0.0,1656,
AP,Centropomus undecimalis_A,2014.0,0.002959554726975334,0.0,1.7871707288498395e-06,0.0,3.515359878747404e-07,0.0,1656,
AP,Centropomus undecimalis_A,2015.0,0.030720362051444385,0.0,1.8550943267780427e-05,0.0,1.932840287821591e-08,0.0,1656,
