bay,species,year,pred_total,obs_total,pred_mean,obs_mean,pred_median,obs_median,n,month
CK,Sciaenops ocellatus_SA,2018.0,201.77651541121304,188.0000038254412,0.2183728521766375,0.20346320760329137,0.0928203985095024,0.0,924,
CK,Sciaenops ocellatus_SA,2019.0,167.45876315573696,230.00000476530823,0.181232427657724,0.2489177540750089,0.0809538662433624,0.0,924,
CK,Sciaenops ocellatus_SA,2020.0,187.95497817127034,230.00000283499145,0.20341447854033587,0.24891775198592148,0.1171929985284805,0.0,924,
CK,Sciaenops ocellatus_SA,2021.0,172.03538955631666,270.0000046874337,0.18618548653281022,0.2922077972807724,0.08364405855536455,0.0,924,
CK,Sciaenops ocellatus_SA,2022.0,225.19970960274804,171.00000325204348,0.2437226294402035,0.18506493858446266,0.0816143602132797,0.0,924,
CK,Sciaenops ocellatus_SA,2023.0,221.7439516885206,144.00000249655204,0.23998263169753312,0.155844158546052,0.1053552478551864,0.0,924,
CK,Sciaenops ocellatus_SA,2024.0,198.227701398544,152.00000353209964,0.21453214437071863,0.16450216832478315,0.0921154506504535,0.0,924,
CK,Sciaenops ocellatus_SA,,127.19757822254903,138.0000027682483,0.1101277733528563,0.11948052187727125,0.0487303584814071,0.0,1155,1.0
CK,Sciaenops ocellatus_SA,,180.4332639786007,180.00000395228005,0.15621927617194867,0.15584415926604334,0.0636668279767036,0.0,1155,2.0
CK,Sciaenops ocellatus_SA,,241.04657931195106,218.00000411796515,0.2086983370666243,0.18874459230992655,0.1028896868228912,0.0,1155,3.0
CK,Sciaenops ocellatus_SA,,225.66134489045362,175.00000439137455,0.19537778778394252,0.1515151553172074,0.0965561270713806,0.0,1155,4.0
CK,Sciaenops ocellatus_SA,,273.5891303233657,210.00000364368066,0.23687370590767592,0.18181818497288368,0.0923744067549705,0.0,1155,5.0
CK,Sciaenops ocellatus_SA,,207.7550662502763,190.0000026820549,0.17987451623400544,0.16450216682428997,0.0671982318162918,0.0,1155,6.0
CK,Sciaenops ocellatus_SA,,192.09568432718834,179.00000387469362,0.16631660980708948,0.15497835833306806,0.0591793656349182,0.0,1155,7.0
CK,Sciaenops ocellatus_SA,,200.94458009500522,202.0000026125714,0.17397799142424694,0.17489177715374146,0.0693915039300918,0.0,1155,8.0
CK,Sciaenops ocellatus_SA,,232.36748319753676,246.00000486757162,0.20118396813639547,0.2129870172013607,0.0849981009960174,0.0,1155,9.0
CK,Sciaenops ocellatus_SA,,281.9376241216851,271.0000038230202,0.24410183906639402,0.23463203794200885,0.1156928092241287,0.0,1155,10.0
CK,Sciaenops ocellatus_SA,,293.3078492815839,271.0000053120246,0.2539461898541852,0.23463203923119014,0.1283461302518844,0.0,1155,11.0
CK,Sciaenops ocellatus_SA,,328.005052225315,283.00000551395897,0.28398705820373593,0.24502164979563548,0.1403348892927169,0.0,1155,12.0
TB,Archosargus probatocephalus_A,2010.0,495.43463757451536,376.0000057999574,0.21391823729469575,0.1623488798790835,0.07122540101408956,0.0,2316,
TB,Archosargus probatocephalus_A,2011.0,645.4632618154574,215.00000431688247,0.27869743601703684,0.09283247163941384,0.07488269358873359,0.0,2316,
TB,Archosargus probatocephalus_A,2012.0,621.1167490287189,286.0000064070423,0.26818512479651074,0.12348877651426697,0.09812637791037555,0.0,2316,
TB,Archosargus probatocephalus_A,2013.0,569.1412192348216,543.0000154319112,0.2457431861981095,0.23445596521239687,0.0626185834407806,0.0,2316,
TB,Archosargus probatocephalus_A,2014.0,572.1402314739007,466.0000131496339,0.24703809649132155,0.20120898667946197,0.0942714065313339,0.0,2316,
TB,Archosargus probatocephalus_A,2015.0,710.6469494298653,520.0000122560486,0.3068423788557277,0.22452504846979648,0.1230959445238113,0.0,2316,
TB,Archosargus probatocephalus_A,2016.0,1070.9507164225652,534.0000139670909,0.45302483774220187,0.22588833078134135,0.2022372484207153,0.0,2364,
TB,Archosargus probatocephalus_A,2017.0,1070.801380854267,458.0000124617505,0.45296166702803176,0.19373942997535976,0.1942015364766121,0.0,2364,
TB,Archosargus probatocephalus_A,2018.0,1076.1581152901053,521.0000133378329,0.4552276291413305,0.2203891765388464,0.1224671564996242,0.0,2364,
TB,Archosargus probatocephalus_A,2019.0,897.9207799711203,438.00000458841913,0.37983112519928947,0.18527918975821453,0.14840047806501386,0.0,2364,
TB,Archosargus probatocephalus_A,2020.0,875.1354080414894,350.00000507175724,0.3701926429955539,0.14805414766148783,0.1146020255982875,0.0,2364,
